"","1379_B/1393_B-1607_B-B4-1608_B-1418_B-1612_B"
"Aele-4-I-3_S104",1
"Aele-4-O-2_S107",1
"Aele-2-I-7_S57",1
"Aele-3-I-4_S59",1
"Aele-12-I-4_S117",1
"Aele-4-I-1_S35",1
"Aele-2-O-5_S139",1
"Aele-12-O-3-2_S141",1
"Aele-4-O-5_S56",1
"Aele-4-O-4-2_S138",1
"Aele-4-I-2_S7",1
"Aele-12-O-5_S124",1
"Aele-12-O-4_S47",1
"Aele-12-O-3-1_S88",1
"Aele-12-I-5_S12",1
"Aele-1-I-6_S103",1
"Aele-4-I-6_S90",1
"Aele-12-I-2_S22",1
"Aele-3-O-6_S55",1
"Aele-8-I-3_S105",1
"Aele-7-I-6_S70",1
"Aele-3-I-6_S52",1
"Aele-4-O-3_S53",1
"Aele-1-O-1_S33",1
"Aele-2-O-1_S99",1
"Aele-12-I-1_S37",1
"Aele-5-O-4_S58",1
"Aele-4-O-4-1_S95",1
"Aele-12-O-6_S126",1
"Aele-7-O-3_S26",1
"Aele-3-O-2_S142",1
"Aele-1-I-1_S29",1
"Aele-13-O-5_S39",1
"Aele-1-O-5_S14",1
"Aele-1-O-6_S50",1
"Aele-7-I-4-1-1_S97",1
"Aele-7-I-5_S49",1
"Aele-2-I-1_S51",1
"Aele-3-I-1_S113",1
"Aele-3-O-5_S136",1
"Aele-1-O-2_S13",1
"Aele-2-I-3_S68",1
"Aele-1-I-2_S42",1
"Aele-3-I-2_S18",1
"Aele-12-O-1_S31",1
"Aele-4-O-6_S78",1
"Aele-7-I-4-1-2_S137",1
"Aele-4-I-4_S85",1
"Aele-7-O-6_S75",1
"Aele-3-O-4_S81",1
"Aele-1-I-5_S27",1
"Aele-12-I-6_S102",1
"Aele-1-O-3_S16",1
"Aele-11-O-2_S32",1
"Aele-7-O-2_S3",1
"Aele-12-O-2_S28",1
"Aele-3-O-1_S30",1
"Aele-2-O-6_S73",1
"Aele-5-O-2_S15",1
"Aele-7-I-2_S4",1
"Aele-5-I-2_S77",1
"Aele-12-I-3_S74",1
"Aele-2-I-6_S65",1
"Aele-10-O-3_S91",1
"Aele-11-O-6_S63",1
"Aele-2-I-2_S106",1
"Aele-11-I-1_S92",1
"Aele-11-I-2_S110",1
"Aele-1-I-4_S82",1
"Aele-8-I-2_S9",1
"Aele-1-I-3_S120",1
"Aele-10-I-4_S62",1
"Aele-11-O-5_S6",1
"Aele-5-I-6_S64",1
"Aele-2-O-3_S122",1
"Aele-11-I-3_S71",1
"Aele-11-O-4_S60",1
"Aele-2-O-4_S10",1
"Aele-11-O-3_S121",1
"Aele-10-I-2_S96",1
"Aele-7-O-1_S38",1
"Aele-13-O-1_S84",1
"Aele-11-I-5_S67",1
"Aele-8-O-2_S108",1
"Aele-13-O-2_S76",1
"Aele-5-I-4_S45",1
"Aele-2-O-2_S140",1
"Aele-9-O-2_S109",1
"Aele-9-O-3_S123",1
"Aele-9-O-6_S61",1
"Aele-5-I-5_S5",1
"Aele-8-O-3_S19",1
"Aele-5-O-6_S100",1
"Aele-10-O-5_S8",1
"Aele-13-I-4-1_S43",1
"Aele-13-I-1_S83",1
"Aele-13-O-Star_S21",1
"Aele-11-I-6_S114",1
"Aele-9-I-1_S101",1
"Aele-8-I-6_S20",1
"Aele-9-I-3_S44",1
"Aele-8-O-4_S116",1
"Aele-13-I-5_S119",1
"Aele-5-I-3_S69",1
"Aele-8-O-6_S17",1
"Aele-10-O-4_S118",1
"Aele-5-O-1_S48",1
"Aele-5-I-1_S24",1
"Aele-8-I-4_S115",1
"Aele-9-I-4_S98",1
"Aele-7-O-5_S1",1
"Aele-8-O-1_S25",1
"Aele-9-I-5_S125",1
"Aele-10-I-5_S112",1
"Aele-8-I-5_S23",1
"Aele-13-I-6_S72",1
"Aele-10-O-1_S111",1
"Aele-10-O-2_S2",1
"Aele-9-O-4_S89",1
"Aele-8-O-5_S11",1
"Aele-13-O-3_S94",1
"Aele-9-I-6_S93",1
"Aele-10-I-6_S66",1
"Aele-13-I-4-2_S46",1
"Aele-11-I-4_S80",1
"Aele-10-O-6_S41",1
"Aele-10-I-1_S54",1
"Aele-3-I-3_S87",1
