"","tank","genotype","Datetime","Date","Time","Type","No.","X1.F","X1.Fm.","X1.PAR","MQY","X1.ETR","sample","pos","Zone","treatment","sample_rep"
"1",1,"4","14:19.0","11/20/20","20:14:19",FALSE,192,362,1167,1,0.69,0.3,"4-O","O","low","H","4-O 1"
"2",1,"10","20:13.0","11/20/20","20:20:13",FALSE,215,446,1395,1,0.68,0.3,"10-I","I","high","H","10-I 1"
"3",1,"1","15:30.0","11/20/20","20:15:30",FALSE,196,471,1518,1,0.69,0.3,"1-I","I","low","H","1-I 1"
"4",1,"8","21:42.0","11/20/20","20:21:42",FALSE,221,311,1057,1,0.706,0.4,"8-O","O","high","H","8-O 1"
"5",1,"1","19:24.0","11/20/20","20:19:24",FALSE,211,311,1002,1,0.69,0.3,"1-O","O","low","H","1-O 1"
"6",1,"7","20:47.0","11/20/20","20:20:47",FALSE,217,438,1484,1,0.705,0.4,"7-O","O","high","H","7-O 1"
"7",1,"10","15:12.0","11/20/20","20:15:12",FALSE,195,263,799,1,0.671,0.3,"10-O","O","high","H","10-O 1"
"8",1,"13","16:10.0","11/20/20","20:16:10",FALSE,198,342,916,1,0.627,0.3,"13-O","O","high","H","13-O 1"
"9",1,"8","17:20.0","11/20/20","20:17:20",FALSE,202,410,1093,1,0.625,0.3,"8-I","I","high","H","8-I 1"
"10",1,"3","17:39.0","11/20/20","20:17:39",FALSE,203,342,1124,1,0.696,0.3,"3-O","O","low","H","3-O 1"
"11",1,"11","15:48.0","11/20/20","20:15:48",FALSE,197,416,1052,1,0.605,0.3,"11-I","I","low","H","11-I 1"
"12",1,"2","18:05.0","11/20/20","20:18:05",FALSE,205,463,1211,1,0.618,0.3,"2-I","I","low","H","2-I 1"
"13",1,"4","20:01.0","11/20/20","20:20:01",FALSE,214,283,935,1,0.697,0.3,"4-I","I","low","H","4-I 1"
"14",1,"2","14:57.0","11/20/20","20:14:57",FALSE,194,374,982,1,0.619,0.3,"2-O","O","low","H","2-O 1"
"15",1,"12","17:52.0","11/20/20","20:17:52",FALSE,204,461,1296,1,0.644,0.3,"12-I","I","high","H","12-I 1"
"16",1,"3","20:28.0","11/20/20","20:20:28",FALSE,216,346,1091,1,0.683,0.3,"3-I","I","low","H","3-I 1"
