"","agg","sampleID","pos","Zone","treatment","tank","genet","actual.mid"
"1","1","1-I-2","I","low","H",2,"G1",0.253
"2","1","1-O-1","O","low","H",1,"G1",0.253
"3","1","1-I-6","I","low","C",6,"G1",0.253
"4","1","1-I-4","I","low","C",4,"G1",0.253
"5","1","1-O-2","O","low","H",2,"G1",0.253
"6","1","1-I-5","I","low","C",5,"G1",0.253
"7","1","1-O-4","O","low","C",4,"G1",0.253
"8","1","1-O-3","O","low","H",3,"G1",0.253
"9","1","1-O-5","O","low","C",5,"G1",0.253
"10","1","1-I-1","I","low","H",1,"G1",0.253
"11","1","1-O-6","O","low","C",6,"G1",0.253
"12","1","1-I-3","I","low","H",3,"G1",0.253
"13","10","10-O-1","O","high","H",1,"G10",0.834
"14","10","10-O-3","O","high","H",3,"G10",0.834
"15","10","10-O-5","O","high","C",5,"G10",0.834
"16","10","10-I-1","I","high","H",1,"G10",0.834
"17","10","10-I-3","I","high","H",3,"G10",0.834
"18","10","10-O-6","O","high","C",6,"G10",0.834
"19","10","10-O-2","O","high","H",2,"G10",0.834
"20","10","10-I-6","I","high","C",6,"G10",0.834
"21","10","10-I-2","I","high","H",2,"G10",0.834
"22","10","10-O-4","O","high","C",4,"G10",0.834
"23","10","10-I-4","I","high","C",4,"G10",0.834
"24","10","10-I-5","I","high","C",5,"G10",0.834
"25","11","11-O-5","O","low","C",5,"G10",0.389
"26","11","11-O-2","O","low","H",2,"G10",0.389
"27","11","11-I-4","I","low","C",4,"G10",0.389
"28","11","11-I-3","I","low","H",3,"G10",0.389
"29","11","11-I-2","I","low","H",2,"G10",0.389
"30","11","11-I-1","I","low","H",1,"G10",0.389
"31","11","11-O-1","O","low","H",1,"G10",0.389
"32","11","11-O-3","O","low","H",3,"G10",0.389
"33","11","11-O-4","O","low","C",4,"G10",0.389
"34","11","11-I-5","I","low","C",5,"G10",0.389
"35","11","11-O-6","O","low","C",6,"G10",0.389
"36","11","11-I-6","I","low","C",6,"G10",0.389
"37","12","12-I-2","I","high","H",2,"G12",1.084
"38","12","12-I-6","I","high","C",6,"G12",1.084
"39","12","12-O-3","O","high","H",3,"G12",1.084
"40","12","12-O-2","O","high","H",2,"G12",1.084
"41","12","12-I-4","I","high","C",4,"G12",1.084
"42","12","12-O-5","O","high","C",5,"G12",1.084
"43","12","12-I-3","I","high","H",3,"G12",1.084
"44","12","12-O-1","O","high","H",1,"G12",1.084
"45","12","12-I-5","I","high","C",5,"G12",1.084
"46","12","12-O-6","O","high","C",6,"G12",1.084
"47","12","12-I-1","I","high","H",1,"G12",1.084
"48","12","12-I-3","I","high","H",3,"G12",1.084
"49","12","12-O-4","O","high","C",4,"G12",1.084
"50","13","13-I-1","I","high","H",1,"G13",0.953
"51","13","13-I-2","I","high","H",2,"G13",0.953
"52","13","13-O-5","O","high","C",5,"G13",0.953
"53","13","13-I-5","I","high","C",5,"G13",0.953
