"","agg","sampleID","pos","Zone","treatment","tank","genet","actual.mid","MQY","Chla_norm","tot_chl_norm","SymHostRatio","weight"
"1","1","1-I-2","I","low","H","2","G1",0.253,0.546,0.939660765,1.943385946,0.024180703,1.31
"2","1","1-O-1","O","low","H","1","G1",0.253,0.53,1.489474496,1.924020554,0.034674046,0.9
"3","1","1-I-6","I","low","C","6","G1",0.253,0.693,3.253296266,6.806082426,0.252612862,0.5
"4","1","1-I-4","I","low","C","4","G1",0.253,0.599,0.327579248,-0.098111219,0.063153215,1.35
"5","1","1-O-2","O","low","H","2","G1",0.253,0.592,1.395698336,2.375967511,0.070928045,0.58
"6","1","1-I-5","I","low","C","5","G1",0.253,0.642,3.129091108,4.753762245,0.236514412,1.31
"7","1","1-O-4","O","low","C","4","G1",0.253,0.641,NA,NA,NA,0.44
"8","1","1-O-3","O","low","H","3","G1",0.253,0.567,1.18066019,2.339049974,0.06515411,0.41
"9","1","1-O-5","O","low","C","5","G1",0.253,0.682,1.449287014,3.44634046,0.146097156,0.44
"10","1","1-I-1","I","low","H","1","G1",0.253,0.544,1.33500433,1.8042148,0.021492841,2.06
"11","1","1-O-6","O","low","C","6","G1",0.253,0.7,0.952136117,1.632734296,0.121581868,0.18
"12","1","1-I-3","I","low","H","3","G1",0.253,0.465,0.912209554,2.612574142,0.01020203,1.25
"13","10","10-O-1","O","high","H","1","G10",0.834,0.679,2.575557053,4.051414834,0.028458432,0.37
"14","10","10-O-3","O","high","H","3","G10",0.834,0.645,0.960902761,0.61665061,0.078563336,0.46
"15","10","10-O-5","O","high","C","5","G10",0.834,0.714,2.264246241,3.379486409,0.345079338,0.19
"16","10","10-I-1","I","high","H","1","G10",0.834,0.503,1.387842216,1.908160607,NA,0.34
"17","10","10-I-3","I","high","H","3","G10",0.834,0.623,1.734903637,1.507448535,0.050765775,0.44
"18","10","10-O-6","O","high","C","6","G10",0.834,0.699,6.577762691,13.93733569,0.097058609,0.13
"19","10","10-O-2","O","high","H","2","G10",0.834,0.64,1.370474241,2.26437531,0.048027349,0.17
"20","10","10-I-6","I","high","C","6","G10",0.834,0.691,2.572886331,3.407836082,0.076680311,0.26
"21","10","10-I-2","I","high","H","2","G10",0.834,0.671,1.655044909,2.641084373,0.025295069,0.4
"22","10","10-O-4","O","high","C","4","G10",0.834,0.712,1.147817856,0.607987951,0.092461719,0.15
"23","10","10-I-4","I","high","C","4","G10",0.834,0.663,3.005623217,4.911580143,0.053846635,0.3
"24","10","10-I-5","I","high","C","5","G10",0.834,0.705,2.211255962,3.041028066,0.101180277,0.46
"25","11","11-O-5","O","low","C","5","G10",0.389,0.622,1.667108113,2.352180763,0.22298213,0.28
"26","11","11-O-2","O","low","H","2","G10",0.389,0.622,1.378654221,2.45859339,0.012315907,0.38
"27","11","11-I-4","I","low","C","4","G10",0.389,0.703,2.978513964,3.558061927,0.139660892,0.71
"28","11","11-I-3","I","low","H","3","G10",0.389,0.634,1.923062152,3.398703891,0.033031814,0.53
"29","11","11-I-2","I","low","H","2","G10",0.389,0.577,3.147327518,7.482271194,0.067218399,1.37
"30","11","11-I-1","I","low","H","1","G10",0.389,0.539,2.334585862,5.058877206,0.032352029,0.53
"31","11","11-O-1","O","low","H","1","G10",0.389,0.645,1.112695441,2.012287054,0.012301687,0.27
"32","11","11-O-3","O","low","H","3","G10",0.389,0.579,1.37342267,2.113586249,0.053105312,0.43
"33","11","11-O-4","O","low","C","4","G10",0.389,0.603,1.528504605,1.24661768,0.10881882,0.21
"34","11","11-I-5","I","low","C","5","G10",0.389,0.719,3.0385296,4.447283896,0.219912269,0.44
"35","11","11-O-6","O","low","C","6","G10",0.389,0.699,3.524643985,5.256400219,0.174948233,0.23
"36","11","11-I-6","I","low","C","6","G10",0.389,0.679,3.56386598,3.551643125,0.104024842,0.65
"37","12","12-I-2","I","high","H","2","G12",1.084,0.61,0.875514924,0.175951567,0.026369244,0.65
"38","12","12-I-6","I","high","C","6","G12",1.084,0.661,2.607624104,3.460811167,0.02600621,0.33
"39","12","12-O-3","O","high","H","3","G12",1.084,0.659,1.172629486,1.530708908,0.061532823,0.26
"40","12","12-O-2","O","high","H","2","G12",1.084,0.633,1.939832717,4.250357511,0.01159784,0.61
"41","12","12-I-4","I","high","C","4","G12",1.084,0.673,1.415850394,1.850704681,0.093752437,0.35
"42","12","12-O-5","O","high","C","5","G12",1.084,0.673,4.90740676,7.519202109,0.156041319,0.2
