Date_Time,Temp,Water
11/11/19 13:00,34.67,
11/11/19 13:05,34.12,
11/11/19 13:10,33.25,
11/11/19 13:15,32.47,
11/11/19 13:20,32.09,
11/11/19 13:25,31.71,
11/11/19 13:30,31.31,
11/11/19 13:35,31.15,
11/11/19 13:40,31.15,
11/11/19 13:45,30.94,
11/11/19 13:50,29.97,
11/11/19 13:55,28.83,
11/11/19 14:00,29.54,
11/11/19 14:05,29.88,
11/11/19 14:10,28.55,
11/11/19 14:15,29.59,
11/11/19 14:20,30.26,
11/11/19 14:25,30.74,
11/11/19 14:30,30.99,
11/11/19 14:35,30.77,
11/11/19 14:40,30.74,
11/11/19 14:45,29.92,
11/11/19 14:50,29.56,
11/11/19 14:55,29.51,
11/11/19 15:00,29.3,
11/11/19 15:05,28.95,
11/11/19 15:10,28.54,
11/11/19 15:15,28.18,
11/11/19 15:20,27.07,
11/11/19 15:25,26.36,
11/11/19 15:30,25.42,
11/11/19 15:35,25.39,
11/11/19 15:40,25.39,
11/11/19 15:45,25.19,
11/11/19 15:50,24.04,
11/11/19 15:55,23.08,
11/11/19 16:00,22.44,
11/11/19 16:05,21.95,
11/11/19 16:10,21.46,
11/11/19 16:15,21.13,
11/11/19 16:20,20.88,
11/11/19 16:25,20.6,
11/11/19 16:30,20.41,
11/11/19 16:35,20.27,
11/11/19 16:40,20.12,
11/11/19 16:45,20.01,
11/11/19 16:50,19.94,
11/11/19 16:55,19.85,
11/11/19 17:00,19.69,
11/11/19 17:05,19.55,
11/11/19 17:10,19.45,
11/11/19 17:15,19.5,
11/11/19 17:20,19.4,
11/11/19 17:25,19.25,
11/11/19 17:30,19.14,
11/11/19 17:35,19,
11/11/19 17:40,18.94,
11/11/19 17:45,18.8,
11/11/19 17:50,18.67,
11/11/19 17:55,18.49,
11/11/19 18:00,18.39,
11/11/19 18:05,18.2,
11/11/19 18:10,18.04,
11/11/19 18:15,17.9,
11/11/19 18:20,17.77,
11/11/19 18:25,17.64,
11/11/19 18:30,17.46,
11/11/19 18:35,17.24,
11/11/19 18:40,17.05,
11/11/19 18:45,16.93,
11/11/19 18:50,16.78,
11/11/19 18:55,16.69,
11/11/19 19:00,16.64,
11/11/19 19:05,16.37,
11/11/19 19:10,16.47,
11/11/19 19:15,16.17,
11/11/19 19:20,16.02,
11/11/19 19:25,15.65,
11/11/19 19:30,15.38,
11/11/19 19:35,15.59,
11/11/19 19:35,,In
11/11/19 19:35,,Out
11/11/19 19:40,15.42,
11/11/19 19:42,,In
11/11/19 19:42,,Out
11/11/19 19:43,,In
11/11/19 19:43,,Out
11/11/19 19:45,15.83,
11/11/19 19:45,,In
11/11/19 19:46,,Out
11/11/19 19:48,,In
11/11/19 19:48,,Out
11/11/19 19:50,16.3,
11/11/19 19:55,16.02,
11/11/19 20:00,16.43,In
11/11/19 20:00,,Out
11/11/19 20:01,,In
11/11/19 20:01,,Out
11/11/19 20:05,16.75,
11/11/19 20:05,,In
11/11/19 20:05,,Out
11/11/19 20:10,16.62,
11/11/19 20:15,16.46,
11/11/19 20:19,,In
11/11/19 20:19,,Out
11/11/19 20:20,16.51,
11/11/19 20:20,,In
11/11/19 20:20,,Out
11/11/19 20:23,,In
11/11/19 20:23,,Out
11/11/19 20:24,,In
11/11/19 20:25,16.52,Out
11/11/19 20:27,,In
11/11/19 20:28,,Out
11/11/19 20:28,,In
11/11/19 20:29,,Out
11/11/19 20:30,16.47,
11/11/19 20:35,16.21,
11/11/19 20:38,,In
11/11/19 20:38,,Out
11/11/19 20:40,16.21,
11/11/19 20:45,16.45,
11/11/19 20:45,,In
11/11/19 20:45,,Out
