Date_time,Temp,Water
8/18/20 15:30,33.7,
8/18/20 15:35,33.89,
8/18/20 15:40,34.32,
8/18/20 15:45,34.8,
8/18/20 15:50,34.95,
8/18/20 15:55,34.96,
8/18/20 16:00,34.82,
8/18/20 16:05,34.66,
8/18/20 16:10,34.34,
8/18/20 16:15,34,
8/18/20 16:20,33.75,
8/18/20 16:25,33.45,
8/18/20 16:30,33.11,
8/18/20 16:35,32.74,
8/18/20 16:40,32.43,
8/18/20 16:45,32.02,
8/18/20 16:50,31.5,
8/18/20 16:55,31.09,
8/18/20 17:00,30.52,
8/18/20 17:05,29.52,
8/18/20 17:10,28.54,
8/18/20 17:15,27.84,
8/18/20 17:20,27.28,
8/18/20 17:25,26.85,
8/18/20 17:30,26.52,
8/18/20 17:35,26.04,
8/18/20 17:40,25.72,
8/18/20 17:45,25.5,
8/18/20 17:50,25.13,
8/18/20 17:55,24.63,
8/18/20 18:00,24.31,
8/18/20 18:05,24.06,
8/18/20 18:10,23.91,
8/18/20 18:15,23.84,
8/18/20 18:20,23.73,
8/18/20 18:25,23.62,
8/18/20 18:30,23.62,
8/18/20 18:35,23.6,
8/18/20 18:40,23.55,
8/18/20 18:43,,In
8/18/20 18:43,,Out
8/18/20 18:43,,In
8/18/20 18:44,,Out
8/18/20 18:45,23.54,
8/18/20 18:46,,In
8/18/20 18:46,,Out
8/18/20 18:47,,In
8/18/20 18:47,,Out
8/18/20 18:49,,In
8/18/20 18:50,23.56,
8/18/20 18:50,,Out
8/18/20 18:53,,In
8/18/20 18:54,,Out
8/18/20 18:54,,In
8/18/20 18:55,23.55,
8/18/20 18:55,,Out
8/18/20 18:56,,In
8/18/20 18:57,,Out
8/18/20 18:58,,In
8/18/20 18:58,,Out
8/18/20 18:59,,In
8/18/20 18:59,,Out
8/18/20 19:00,23.56,In
8/18/20 19:00,,Out
8/18/20 19:01,,In
8/18/20 19:01,,Out
8/18/20 19:03,,In
8/18/20 19:04,,Out
8/18/20 19:04,,In
8/18/20 19:04,,Out
8/18/20 19:05,23.53,
8/18/20 19:06,,In
8/18/20 19:06,,Out
8/18/20 19:07,,In
8/18/20 19:07,,Out
8/18/20 19:10,23.52,In
8/18/20 19:10,,Out
8/18/20 19:11,,In
8/18/20 19:12,,Out
8/18/20 19:13,,In
8/18/20 19:13,,Out
8/18/20 19:13,,In
8/18/20 19:15,23.45,Out
8/18/20 19:15,,In
8/18/20 19:15,,Out
8/18/20 19:16,,In
8/18/20 19:17,,Out
8/18/20 19:17,,In
8/18/20 19:18,,Out
8/18/20 19:18,,In
8/18/20 19:19,,Out
8/18/20 19:19,,In
8/18/20 19:20,23.42,
8/18/20 19:20,,Out
8/18/20 19:20,,In
8/18/20 19:21,,Out
8/18/20 19:21,,In
8/18/20 19:24,,Out
8/18/20 19:25,23.37,In
8/18/20 19:25,,Out
8/18/20 19:25,,In
8/18/20 19:25,,Out
8/18/20 19:25,,In
8/18/20 19:28,,Out
8/18/20 19:28,,In
8/18/20 19:29,,Out
8/18/20 19:29,,In
8/18/20 19:30,23.34,
8/18/20 19:30,,Out
8/18/20 19:30,,In
8/18/20 19:32,,Out
8/18/20 19:33,,In
8/18/20 19:34,,Out
8/18/20 19:35,23.29,In
8/18/20 19:40,23.24,
8/18/20 19:41,,Out
8/18/20 19:41,,In
8/18/20 19:45,23.2,
8/18/20 19:50,23.17,
8/18/20 19:55,23.13,
8/18/20 20:00,23.14,
8/18/20 20:05,23.12,
8/18/20 20:10,23.08,
8/18/20 20:15,23.1,
8/18/20 20:20,23.08,
8/18/20 20:25,23.08,
8/18/20 20:30,23.1,
8/18/20 20:35,23.09,
8/18/20 20:40,23.09,
8/18/20 20:45,23.09,
8/18/20 20:50,23.09,
8/18/20 20:55,23.1,
8/18/20 21:00,23.09,
8/18/20 21:05,23.1,
8/18/20 21:10,23.1,
8/18/20 21:15,23.09,
8/18/20 21:20,23.09,
8/18/20 21:25,23.1,
8/18/20 21:30,23.11,
8/18/20 21:35,23.14,
8/18/20 21:40,23.13,
8/18/20 21:45,23.11,
8/18/20 21:50,23.11,
8/18/20 21:55,23.1,
8/18/20 22:00,23.12,
8/18/20 22:05,23.12,
8/18/20 22:10,23.09,
8/18/20 22:15,23.13,
8/18/20 22:20,23.13,
8/18/20 22:25,23.13,
8/18/20 22:30,23.13,
8/18/20 22:35,23.14,
8/18/20 22:40,23.14,
8/18/20 22:45,23.15,
8/18/20 22:47,,Out
8/18/20 22:48,,In
8/18/20 22:50,23.13,
8/18/20 22:55,23.15,
8/18/20 23:00,23.15,
8/18/20 23:05,23.14,
8/18/20 23:10,23.14,
8/18/20 23:13,,Out
8/18/20 23:13,,In
8/18/20 23:15,23.15,
8/18/20 23:15,,Out
8/18/20 23:15,,In
8/18/20 23:16,,Out
8/18/20 23:16,,In
8/18/20 23:17,,Out
8/18/20 23:17,,In
8/18/20 23:18,,Out
8/18/20 23:19,,In
8/18/20 23:20,23.13,
8/18/20 23:20,,Out
8/18/20 23:20,,In
8/18/20 23:23,,Out
8/18/20 23:24,,In
8/18/20 23:25,23.14,
8/18/20 23:25,,Out
8/18/20 23:25,,In
8/18/20 23:27,,Out
8/18/20 23:29,,In
8/18/20 23:29,,Out
8/18/20 23:30,23.07,
8/18/20 23:31,,In
8/18/20 23:31,,Out
8/18/20 23:32,,In
