Date_Time,Temp,Water
12/2/21 13:00,21.28,
12/2/21 13:05,21.87,
12/2/21 13:10,24.31,
12/2/21 13:15,25.58,
12/2/21 13:20,25.48,
12/2/21 13:25,24.24,
12/2/21 13:30,23.73,
12/2/21 13:35,24.14,
12/2/21 13:40,23.37,
12/2/21 13:45,21.78,
12/2/21 13:50,21.23,
12/2/21 13:55,23.82,
12/2/21 14:00,23.98,
12/2/21 14:05,23.99,
12/2/21 14:10,24.28,
12/2/21 14:15,25.75,
12/2/21 14:20,26.1,
12/2/21 14:25,26.36,
12/2/21 14:30,26.63,
12/2/21 14:35,26.53,
12/2/21 14:40,26.67,
12/2/21 14:45,26.62,
12/2/21 14:50,26.17,
12/2/21 14:55,26.39,
12/2/21 15:00,26.1,
12/2/21 15:05,24.57,
12/2/21 15:10,22.39,
12/2/21 15:15,21.14,
12/2/21 15:20,20.37,
12/2/21 15:25,19.97,
12/2/21 15:30,19.61,
12/2/21 15:35,19.33,
12/2/21 15:40,19.2,
12/2/21 15:45,18.96,
12/2/21 15:50,18.69,
12/2/21 15:55,18.4,
12/2/21 16:00,18.17,
12/2/21 16:05,17.96,
12/2/21 16:10,17.81,
12/2/21 16:15,17.64,
12/2/21 16:20,17.26,
12/2/21 16:25,16.99,
12/2/21 16:30,16.84,
12/2/21 16:35,16.79,
12/2/21 16:40,16.73,
12/2/21 16:45,16.73,
12/2/21 16:50,16.64,
12/2/21 16:55,16.62,
12/2/21 17:00,16.49,
12/2/21 17:05,16.47,
12/2/21 17:10,16.37,
12/2/21 17:15,16.32,
12/2/21 17:20,16.28,
12/2/21 17:25,16.21,
12/2/21 17:30,16.17,
12/2/21 17:35,16.08,
12/2/21 17:40,15.99,
12/2/21 17:45,15.95,
12/2/21 17:50,15.93,
12/2/21 17:55,15.93,
12/2/21 18:00,15.76,
12/2/21 18:05,15.82,
12/2/21 18:10,15.83,
12/2/21 18:15,15.75,
12/2/21 18:20,15.53,
12/2/21 18:25,15.34,
12/2/21 18:26,,In
12/2/21 18:26,,Out
12/2/21 18:30,15.26,
12/2/21 18:35,15.04,
12/2/21 18:40,15.03,
12/2/21 18:40,,In
12/2/21 18:41,,Out
12/2/21 18:45,14.95,In
12/2/21 18:45,,Out
12/2/21 18:50,14.92,
12/2/21 18:51,,In
12/2/21 18:52,,Out
12/2/21 18:54,,In
12/2/21 18:55,14.94,Out
12/2/21 18:56,,In
12/2/21 18:57,,Out
12/2/21 19:00,14.81,
12/2/21 19:00,,In
12/2/21 19:00,,Out
12/2/21 19:04,,In
12/2/21 19:05,14.72,
12/2/21 19:05,,Out
12/2/21 19:05,,In
12/2/21 19:05,,Out
12/2/21 19:07,,In
12/2/21 19:07,,Out
12/2/21 19:09,,In
12/2/21 19:09,,Out
12/2/21 19:10,15.14,
12/2/21 19:13,,In
12/2/21 19:13,,Out
12/2/21 19:14,,In
12/2/21 19:14,,Out
12/2/21 19:15,15.23,
12/2/21 19:20,15.1,
12/2/21 19:22,,In
12/2/21 19:23,,Out
12/2/21 19:24,,In
12/2/21 19:24,,Out
12/2/21 19:25,15.06,
12/2/21 19:30,14.83,
12/2/21 19:34,,In
12/2/21 19:34,,Out
12/2/21 19:35,15,
12/2/21 19:35,,In
12/2/21 19:36,,Out
12/2/21 19:38,,In
12/2/21 19:39,,Out
12/2/21 19:39,,In
12/2/21 19:40,15.04,Out
12/2/21 19:40,,In
12/2/21 19:40,,Out
12/2/21 19:41,,In
12/2/21 19:42,,Out
12/2/21 19:42,,In
12/2/21 19:42,,Out
12/2/21 19:45,14.86,
12/2/21 19:46,,In
12/2/21 19:46,,Out
12/2/21 19:47,,In
12/2/21 19:47,,Out
12/2/21 19:48,,In
12/2/21 19:49,,Out
12/2/21 19:49,,In
12/2/21 19:49,,Out
12/2/21 19:50,14.82,
12/2/21 19:50,,In
12/2/21 19:50,,Out
12/2/21 19:52,,In
12/2/21 19:52,,Out
12/2/21 19:54,,In
12/2/21 19:54,,Out
12/2/21 19:54,,In
12/2/21 19:54,,Out
12/2/21 19:55,14.83,
12/2/21 19:55,,In
12/2/21 19:55,,Out
12/2/21 19:56,,In
12/2/21 19:57,,Out
12/2/21 20:00,14.95,
12/2/21 20:00,,In
12/2/21 20:01,,Out
12/2/21 20:03,,In
12/2/21 20:03,,Out
12/2/21 20:03,,In
12/2/21 20:04,,Out
12/2/21 20:05,14.91,In
12/2/21 20:05,,Out
12/2/21 20:06,,In
12/2/21 20:07,,Out
12/2/21 20:08,,In
12/2/21 20:08,,Out
12/2/21 20:09,,In
12/2/21 20:09,,Out
12/2/21 20:09,,In
12/2/21 20:10,15.11,
12/2/21 20:11,,Out
12/2/21 20:12,,In
12/2/21 20:12,,Out
12/2/21 20:13,,In
12/2/21 20:13,,Out
12/2/21 20:14,,In
12/2/21 20:15,15.07,Out
12/2/21 20:17,,In
12/2/21 20:18,,Out
12/2/21 20:18,,In
12/2/21 20:19,,Out
12/2/21 20:19,,In
12/2/21 20:20,14.97,
12/2/21 20:20,,Out
12/2/21 20:21,,In
12/2/21 20:23,,Out
12/2/21 20:24,,In
12/2/21 20:24,,Out
12/2/21 20:25,15.01,
12/2/21 20:27,,In
12/2/21 20:30,14.78,Out
12/2/21 20:30,,In
12/2/21 20:32,,Out
12/2/21 20:33,,In
12/2/21 20:33,,Out
12/2/21 20:35,14.72,
12/2/21 20:36,,In
12/2/21 20:36,,Out
12/2/21 20:39,,In
12/2/21 20:39,,Out
12/2/21 20:40,14.84,
12/2/21 20:41,,In
12/2/21 20:42,,Out
12/2/21 20:42,,In
12/2/21 20:43,,Out
12/2/21 20:43,,In
12/2/21 20:45,14.68,Out
12/2/21 20:45,,In
12/2/21 20:45,,Out
12/2/21 20:45,,In
12/2/21 20:46,,Out
12/2/21 20:48,,In
12/2/21 20:49,,Out
12/2/21 20:49,,In
12/2/21 20:50,14.41,
12/2/21 20:50,,Out
12/2/21 20:55,14.24,
12/2/21 20:55,,In
12/2/21 20:56,,Out
12/2/21 20:59,,In
12/2/21 21:00,14.3,
12/2/21 21:00,,Out
12/2/21 21:00,,In
12/2/21 21:01,,Out
12/2/21 21:05,14.23,
12/2/21 21:10,14.1,
12/2/21 21:10,,In
12/2/21 21:10,,Out
12/2/21 21:11,,In
12/2/21 21:12,,Out
12/2/21 21:15,14.28,
12/2/21 21:20,14.2,
12/2/21 21:20,,In
12/2/21 21:20,,Out
12/2/21 21:24,,In
12/2/21 21:24,,Out
12/2/21 21:25,14.24,
12/2/21 21:30,14.22,
12/2/21 21:35,14.24,
12/2/21 21:40,14.3,
12/2/21 21:43,,In
12/2/21 21:44,,Out
12/2/21 21:45,14.29,
12/2/21 21:50,14.24,
12/2/21 21:55,14.2,
12/2/21 22:00,14.25,
12/2/21 22:05,14.28,
12/2/21 22:10,14.28,
12/2/21 22:15,14.24,
12/2/21 22:20,14.04,
12/2/21 22:25,13.92,
12/2/21 22:30,13.83,
12/2/21 22:35,13.73,
12/2/21 22:40,13.71,
12/2/21 22:45,13.76,
12/2/21 22:50,13.73,
12/2/21 22:55,13.67,
12/2/21 23:00,13.6,
12/2/21 23:05,13.61,
12/2/21 23:10,13.58,
12/2/21 23:15,13.55,
12/2/21 23:20,13.54,
12/2/21 23:25,13.54,
12/2/21 23:30,13.58,
12/2/21 23:35,13.58,
12/2/21 23:40,13.56,
12/2/21 23:45,13.53,
12/2/21 23:50,13.52,
12/2/21 23:55,13.49,
12/3/21 0:00,13.5,
12/3/21 0:05,13.51,
12/3/21 0:10,13.51,
12/3/21 0:15,13.52,
12/3/21 0:20,13.52,
12/3/21 0:25,13.5,
12/3/21 0:30,13.49,
12/3/21 0:35,13.52,
