Date_Time,Temp,Water Detect,Host Connected,End of File
6/19/22 8:50,22.338,,,
6/19/22 8:55,22.466,,,
6/19/22 9:00,22.713,,,
6/19/22 9:05,22.97,,,
6/19/22 9:10,23.528,,,
6/19/22 9:15,23.807,,,
6/19/22 9:20,24.214,,,
6/19/22 9:25,24.804,,,
6/19/22 9:30,25.373,,,
6/19/22 9:35,25.92,,,
6/19/22 9:40,26.252,,,
6/19/22 9:45,26.681,,,
6/19/22 9:50,27.239,,,
6/19/22 9:55,27.679,,,
6/19/22 10:00,28.129,,,
6/19/22 10:05,28.58,,,
6/19/22 10:10,28.966,,,
6/19/22 10:15,29.287,,,
6/19/22 10:20,29.684,,,
6/19/22 10:25,30.07,,,
6/19/22 10:30,30.424,,,
6/19/22 10:35,30.789,,,
6/19/22 10:40,31.25,,,
6/19/22 10:45,31.668,,,
6/19/22 10:50,32.183,,,
6/19/22 10:55,32.58,,,
6/19/22 11:00,32.966,,,
6/19/22 11:05,33.309,,,
6/19/22 11:10,33.567,,,
6/19/22 11:15,33.996,,,
6/19/22 11:20,34.425,,,
6/19/22 11:25,34.843,,,
6/19/22 11:30,35.058,,,
6/19/22 11:35,35.369,,,
6/19/22 11:40,35.658,,,
6/19/22 11:45,35.615,,,
6/19/22 11:50,35.519,,,
6/19/22 11:55,35.637,,,
6/19/22 12:00,35.948,,,
6/19/22 12:05,36.087,,,
6/19/22 12:10,35.991,,,
6/19/22 12:15,36.087,,,
6/19/22 12:20,35.572,,,
6/19/22 12:25,34.875,,,
6/19/22 12:30,34.639,,,
6/19/22 12:35,34.296,,,
6/19/22 12:40,34.06,,,
6/19/22 12:42,,In,,
6/19/22 12:45,32.612,Out,,
6/19/22 12:50,31.937,,,
6/19/22 12:55,31.947,,,
6/19/22 13:00,31.851,,,
6/19/22 13:01,,In,,
6/19/22 13:03,,Out,,
6/19/22 13:04,,In,,
6/19/22 13:05,31.025,,,
6/19/22 13:05,,Out,,
6/19/22 13:08,,In,,
6/19/22 13:09,,Out,,
6/19/22 13:09,,In,,
6/19/22 13:10,30.435,,,
6/19/22 13:15,29.502,,,
6/19/22 13:20,28.805,,,
6/19/22 13:23,,Out,,
6/19/22 13:23,,In,,
6/19/22 13:25,28.59,,,
6/19/22 13:27,,Out,,
6/19/22 13:29,,In,,
6/19/22 13:30,28.322,,,
6/19/22 13:35,27.464,,,
6/19/22 13:40,26.928,,,
6/19/22 13:45,26.499,,,
6/19/22 13:50,26.091,,,
6/19/22 13:55,25.63,,,
6/19/22 14:00,25.384,,,
6/19/22 14:05,25.201,,,
6/19/22 14:10,24.933,,,
6/19/22 14:15,24.719,,,
6/19/22 14:20,24.44,,,
6/19/22 14:25,23.979,,,
6/19/22 14:30,23.796,,,
6/19/22 14:35,23.496,,,
6/19/22 14:40,23.292,,,
6/19/22 14:45,23.314,,,
6/19/22 14:50,23.013,,,
6/19/22 14:55,22.895,,,
6/19/22 15:00,22.692,,,
6/19/22 15:05,22.584,,,
6/19/22 15:10,22.466,,,
6/19/22 15:15,22.348,,,
6/19/22 15:20,22.252,,,
6/19/22 15:25,22.123,,,
6/19/22 15:30,22.016,,,
6/19/22 15:35,21.919,,,
6/19/22 15:40,21.823,,,
6/19/22 15:45,21.769,,,
6/19/22 15:50,21.64,,,
6/19/22 15:55,21.651,,,
6/19/22 16:00,21.544,,,
6/19/22 16:05,21.405,,,
6/19/22 16:10,21.265,,,
6/19/22 16:15,21.158,,,
6/19/22 16:20,21.093,,,
6/19/22 16:25,20.943,,,
6/19/22 16:30,20.75,,,
6/19/22 16:35,20.45,,,
6/19/22 16:40,20.064,,,
6/19/22 16:45,19.517,,,
6/19/22 16:50,19.131,,,
6/19/22 16:55,18.873,,,
6/19/22 17:00,18.723,,,
6/19/22 17:05,18.573,,,
6/19/22 17:10,18.573,,,
6/19/22 17:15,18.648,,,
6/19/22 17:20,18.627,,,
6/19/22 17:25,18.466,,,
6/19/22 17:30,18.487,,,
6/19/22 17:35,18.348,,,
6/19/22 17:40,18.284,,,
6/19/22 17:45,18.144,,,
6/19/22 17:50,18.09,,,
6/19/22 17:55,18.112,,,
6/19/22 17:57,,Out,,
6/19/22 18:00,17.951,,,
6/19/22 18:00,,In,,
6/19/22 18:05,18.015,,,
6/19/22 18:08,,Out,,
6/19/22 18:08,,In,,
6/19/22 18:10,17.908,,,
6/19/22 18:13,,Out,,
6/19/22 18:15,17.833,In,,
6/19/22 18:20,17.855,,,
6/19/22 18:22,,Out,,
6/19/22 18:22,,In,,
6/19/22 18:25,17.833,,,
6/19/22 18:25,,Out,,
6/19/22 18:30,17.726,,,
6/19/22 18:31,,In,,
6/19/22 18:32,,Out,,
6/19/22 18:35,17.661,,,
6/19/22 18:36,,In,,
6/19/22 18:38,,Out,,
6/19/22 18:38,,In,,
6/19/22 18:39,,Out,,
6/19/22 18:39,,In,,
6/19/22 18:40,17.64,,,
6/19/22 18:41,,Out,,
6/19/22 18:45,17.629,,,
6/19/22 18:50,17.586,,,
6/19/22 18:55,17.554,,,
6/19/22 18:57,,In,,
6/19/22 18:59,,Out,,
6/19/22 18:59,,In,,
6/19/22 19:00,17.543,,,
6/19/22 19:01,,Out,,
6/19/22 19:05,17.49,,,
6/19/22 19:07,,In,,
6/19/22 19:07,,Out,,
6/19/22 19:10,17.458,,,
6/19/22 19:15,17.372,,,
6/19/22 19:20,17.35,,,
6/19/22 19:25,17.297,,,
6/19/22 19:30,17.211,,,
6/19/22 19:35,16.986,,,
6/19/22 19:40,16.943,,,
6/19/22 19:40,,In,,
6/19/22 19:43,,Out,,
6/19/22 19:45,16.943,,,
6/19/22 19:50,16.9,,,
6/19/22 19:55,16.921,,,
6/19/22 20:00,16.911,,,
6/19/22 20:05,16.857,,,
6/19/22 20:10,16.793,,,
6/19/22 20:15,16.546,,,
6/19/22 20:20,16.492,,,
6/19/22 20:25,16.6,,,
6/19/22 20:30,16.675,,,
6/19/22 20:35,16.578,,,
6/19/22 20:40,16.278,,,
6/19/22 20:45,16.106,,,
6/19/22 20:50,15.988,,,
6/19/22 20:55,15.763,,,
6/19/22 20:59,,In,,
6/19/22 21:00,15.506,,,
6/19/22 21:02,,Out,,
6/19/22 21:05,15.227,,,
6/19/22 21:10,14.948,,,
6/19/22 21:15,14.894,,,
6/19/22 21:20,14.819,,,
6/19/22 21:25,14.723,,,
6/19/22 21:29,,In,,
6/19/22 21:30,14.712,Out,,
6/19/22 21:31,,In,,
6/19/22 21:35,14.465,,,
6/19/22 21:40,14.187,,,
6/19/22 21:44,,Out,,
6/19/22 21:45,13.993,,,
6/19/22 21:48,,In,,
6/19/22 21:50,13.972,,,
6/19/22 21:55,13.918,,,
6/19/22 21:57,,Out,,
6/19/22 21:59,,In,,
6/19/22 22:00,13.972,,,
6/19/22 22:01,,Out,,
6/19/22 22:05,13.972,,,
6/19/22 22:10,13.897,,,
6/19/22 22:15,13.811,,,
6/19/22 22:20,13.768,,,
6/19/22 22:25,13.597,,,
6/19/22 22:28,,In,,
6/19/22 22:30,13.64,,,
6/19/22 22:31,,Out,,
6/19/22 22:34,,In,,
6/19/22 22:35,13.64,,,
6/19/22 22:36,,Out,,
6/19/22 22:40,13.543,,,
6/19/22 22:45,13.661,,,
6/19/22 22:50,13.758,,,
6/19/22 22:55,13.811,,,
6/19/22 22:55,,In,,
6/19/22 22:59,,Out,,
6/19/22 23:00,13.908,,,
6/19/22 23:00,,In,,
6/19/22 23:00,,Out,,
6/19/22 23:01,,In,,
6/19/22 23:03,,Out,,
6/19/22 23:05,13.929,,,
6/19/22 23:07,,In,,
6/19/22 23:10,14.079,,,
6/19/22 23:15,14.122,,,
6/19/22 23:17,,Out,,
6/19/22 23:18,,In,,
6/19/22 23:20,14.337,,,
6/19/22 23:25,14.573,,,
6/19/22 23:30,14.787,,,
6/19/22 23:35,15.152,,,
6/19/22 23:40,15.098,,,
6/19/22 23:45,15.409,,,
6/19/22 23:50,15.978,,,
6/19/22 23:55,15.709,,,
6/20/22 0:00,15.881,,,
6/20/22 0:05,16.063,,,
6/20/22 0:10,16.267,,,
6/20/22 0:15,16.374,,,
6/20/22 0:20,16.632,,,
6/20/22 0:25,16.621,,,
6/20/22 0:30,16.846,,,
6/20/22 0:35,16.846,,,
6/20/22 0:40,16.921,,,
6/20/22 0:45,16.9,,,
6/20/22 0:50,17.039,,,
6/20/22 0:55,17.029,,,
6/20/22 1:00,17.029,,,
6/20/22 1:05,17.114,,,
6/20/22 1:10,17.136,,,
6/20/22 1:15,17.093,,,
6/20/22 1:20,17.19,,,
6/20/22 1:25,17.232,,,
6/20/22 1:30,17.211,,,
6/20/22 1:35,17.222,,,
6/20/22 1:40,17.168,,,
6/20/22 1:45,17.19,,,
6/20/22 1:50,17.211,,,
6/20/22 1:55,17.254,,,
6/20/22 2:00,17.179,,,
6/20/22 2:05,17.179,,,
6/20/22 2:10,17.168,,,
6/20/22 2:15,17.125,,,
6/20/22 2:20,17.168,,,
6/20/22 2:25,17.114,,,
6/20/22 2:30,17.136,,,
6/20/22 2:35,17.018,,,
6/20/22 2:40,16.986,,,
6/20/22 2:45,17.05,,,
6/20/22 2:50,17.018,,,
6/20/22 2:55,17.061,,,
6/20/22 3:00,17.029,,,
6/20/22 3:05,16.986,,,
6/20/22 3:10,16.846,,,
6/20/22 3:15,16.803,,,
6/20/22 3:20,16.814,,,
6/20/22 3:25,16.728,,,
6/20/22 3:30,16.707,,,
6/20/22 3:35,16.653,,,
6/20/22 3:40,16.664,,,
6/20/22 3:45,16.589,,,
6/20/22 3:50,16.492,,,
6/20/22 3:55,16.364,,,
6/20/22 4:00,16.289,,,
6/20/22 4:05,16.321,,,
6/20/22 4:10,16.074,,,
